Czêstotliwoœæ (MHz)	Wspó³czynnik antenowy (dB(S/m))
10.00	-203.48
20.00	-197.46
30.00	-193.94
40.00	-191.44
50.00	-189.50
60.00	-187.91
70.00	-186.58
80.00	-185.42
90.00	-184.39
100.00	-183.48
200.00	-177.46
300.00	-173.94
400.00	-171.44
500.00	-169.50
600.00	-167.91
700.00	-166.58
800.00	-165.42
900.00	-164.39
1000.00	-163.48
2000.00	-157.46
3000.00	-153.94
4000.00	-151.44
5000.00	-149.50
6000.00	-147.91
7000.00	-146.58
8000.00	-145.42
9000.00	-144.39
10000.00	-143.48
20000.00	-137.46
30000.00	-133.94
