z [m]	H [dBuA/m]
-0.35	136.49141178184718
-0.34	136.58206176888905
-0.33	136.66755354302848
-0.32	136.74791475518867
-0.31	136.82319013053944
-0.30	136.89344164690434
-0.29	136.95874856589418
-0.28	137.01920730854806
-0.27	137.07493116900454
-0.26	137.12604986164817
-0.25	137.17270889924717
-0.24	137.21506880177907
-0.23	137.25330413789746
-0.22	137.28760240328376
-0.21	137.31816274241706
-0.20	137.3451945225437
-0.19	137.36891577080573
-0.18	137.38955148755545
-0.17	137.40733185081908
-0.16	137.4224903286453
-0.15	137.43526171766138
-0.14	137.44588012753877
-0.13	137.4545769322218
-0.12	137.46157870967915
-0.11	137.46710519257965
-0.10	137.47136725266094
-0.09	137.47456494162984
-0.08	137.47688561120762
-0.07	137.47850213438966
-0.06	137.47957124913538
-0.05	137.48023204453233
-0.04	137.48060460799823
-0.03	137.48078885030813
-0.02	137.48086352317887
-0.01	137.48088544183815
0.00	137.48088892248364
0.01	137.48088544183815
0.02	137.48086352317887
0.03	137.48078885030813
0.04	137.48060460799823
0.05	137.48023204453233
0.06	137.47957124913538
0.07	137.47850213438966
0.08	137.47688561120762
0.09	137.47456494162984
0.10	137.47136725266094
0.11	137.46710519257965
0.12	137.46157870967915
0.13	137.4545769322218
0.14	137.44588012753877
0.15	137.43526171766138
0.16	137.4224903286453
0.17	137.40733185081908
0.18	137.38955148755545
0.19	137.36891577080573
0.20	137.3451945225437
0.21	137.31816274241706
0.22	137.28760240328376
0.23	137.25330413789746
0.24	137.21506880177907
0.25	137.17270889924717
0.26	137.12604986164817
0.27	137.07493116900454
0.28	137.01920730854806
0.29	136.95874856589418
0.30	136.89344164690434
0.31	136.82319013053944
0.32	136.74791475518867
0.33	136.66755354302848
0.34	136.58206176888905
0.35	136.49141178184718
